積分区間は０～15です。
刻み幅hの値を入力してください
入力された値は以下の通りです。
積分区間は[0,15]
h=0.100000
n=150
x_0=0.000000
y_0=15.000000
n=126 	 x=12.600012 	 y=0.000000 	 真の値は0.000000です
n=127 	 x=12.700012 	 y=0.000000 	 真の値は0.000000です
n=128 	 x=12.800013 	 y=0.000000 	 真の値は0.000000です
n=129 	 x=12.900013 	 y=0.000000 	 真の値は0.000000です
n=130 	 x=13.000013 	 y=0.000000 	 真の値は0.000000です
n=131 	 x=13.100014 	 y=0.000000 	 真の値は0.000000です
n=132 	 x=13.200014 	 y=0.000000 	 真の値は0.000000です
n=133 	 x=13.300014 	 y=0.000000 	 真の値は0.000000です
n=134 	 x=13.400015 	 y=0.000000 	 真の値は0.000000です
n=135 	 x=13.500015 	 y=0.000000 	 真の値は0.000000です
n=136 	 x=13.600016 	 y=0.000000 	 真の値は0.000000です
n=137 	 x=13.700016 	 y=0.000000 	 真の値は0.000000です
n=138 	 x=13.800016 	 y=0.000000 	 真の値は0.000000です
n=139 	 x=13.900017 	 y=0.000000 	 真の値は0.000000です
n=140 	 x=14.000017 	 y=0.000000 	 真の値は0.000000です
n=141 	 x=14.100018 	 y=0.000000 	 真の値は0.000000です
n=142 	 x=14.200018 	 y=0.000000 	 真の値は0.000000です
n=143 	 x=14.300018 	 y=0.000000 	 真の値は0.000000です
n=144 	 x=14.400019 	 y=0.000000 	 真の値は0.000000です
n=145 	 x=14.500019 	 y=0.000000 	 真の値は0.000000です
n=146 	 x=14.600019 	 y=0.000000 	 真の値は0.000000です
n=147 	 x=14.700020 	 y=0.000000 	 真の値は0.000000です
n=148 	 x=14.800020 	 y=0.000000 	 真の値は0.000000です
n=149 	 x=14.900021 	 y=0.000000 	 真の値は0.000000です
n=150 	 x=15.000021 	 y=0.000000 	 真の値は0.000000です
