x,k=0.01,k=0.1,k=0.15,k=0.3
1.006000,9.858800,6.216348,5.088611,3.106930
1.006500,9.863700,6.218139,5.089694,3.107170
1.007000,9.868600,6.219930,5.090776,3.107409
1.007500,9.873500,6.221719,5.091858,3.107647
1.008000,9.878400,6.223508,5.092938,3.107886
1.008500,9.883300,6.225296,5.094018,3.108124
1.009000,9.888200,6.227083,5.095097,3.108361
1.009500,9.893100,6.228869,5.096176,3.108599
1.010000,9.898000,6.230654,5.097253,3.108836
1.010500,9.902900,6.232438,5.098330,3.109072
1.011000,9.907800,6.234222,5.099406,3.109308
1.011500,9.912700,6.236004,5.100481,3.109544
1.012000,9.917600,6.237786,5.101555,3.109780
1.012500,9.922500,6.239566,5.102628,3.110015
1.013000,9.927400,6.241346,5.103701,3.110250
1.013500,9.932300,6.243125,5.104773,3.110484
1.014000,9.937200,6.244903,5.105844,3.110718
1.014500,9.942100,6.246680,5.106914,3.110952
1.015000,9.947000,6.248456,5.107984,3.111185
1.015500,9.951900,6.250232,5.109052,3.111418
1.016000,9.956800,6.252006,5.110120,3.111651
1.016500,9.961700,6.253780,5.111187,3.111883
1.017000,9.966600,6.255552,5.112253,3.112115
1.017500,9.971500,6.257324,5.113319,3.112347
1.018000,9.976400,6.259095,5.114383,3.112578
1.018500,9.981300,6.260865,5.115447,3.112809
1.019000,9.986200,6.262634,5.116510,3.113040
1.019500,9.991100,6.264402,5.117572,3.113270
1.020000,9.996000,6.266170,5.118634,3.113500
1.020500,10.000900,6.267936,5.119694,3.113730
1.021000,10.005800,6.269702,5.120754,3.113959
1.021500,10.010700,6.271466,5.121813,3.114188
1.022000,10.015600,6.273230,5.122871,3.114416
1.022500,10.020500,6.274993,5.123929,3.114645
1.023000,10.025400,6.276755,5.124985,3.114873
1.023500,10.030300,6.278516,5.126041,3.115100
1.024000,10.035200,6.280277,5.127096,3.115327
1.024500,10.040100,6.282036,5.128151,3.115554
1.025000,10.045000,6.283795,5.129204,3.115781
1.025500,10.049900,6.285552,5.130257,3.116007
1.026000,10.054800,6.287309,5.131309,3.116233
1.026500,10.059700,6.289065,5.132360,3.116458
1.027000,10.064600,6.290820,5.133410,3.116683
1.027500,10.069500,6.292574,5.134460,3.116908
1.028000,10.074400,6.294327,5.135509,3.117132
1.028500,10.079300,6.296080,5.136557,3.117357
1.029000,10.084200,6.297831,5.137604,3.117580
1.029500,10.089100,6.299582,5.138650,3.117804
1.030000,10.094000,6.301332,5.139696,3.118027
1.030500,10.098900,6.303081,5.140741,3.118250
1.031000,10.103800,6.304829,5.141785,3.118472
1.031500,10.108700,6.306576,5.142828,3.118694
1.032000,10.113600,6.308322,5.143870,3.118916
1.032500,10.118500,6.310068,5.144912,3.119138
1.033000,10.123400,6.311812,5.145953,3.119359
1.033500,10.128300,6.313556,5.146993,3.119580
1.034000,10.133200,6.315299,5.148033,3.119800
1.034500,10.138100,6.317040,5.149071,3.120020
1.035000,10.143000,6.318781,5.150109,3.120240
1.035500,10.147900,6.320522,5.151146,3.120459
1.036000,10.152800,6.322261,5.152182,3.120679
1.036500,10.157700,6.323999,5.153218,3.120897
1.037000,10.162600,6.325737,5.154252,3.121116
1.037500,10.167500,6.327474,5.155286,3.121334
1.038000,10.172400,6.329209,5.156319,3.121552
1.038500,10.177300,6.330944,5.157352,3.121769
1.039000,10.182200,6.332679,5.158383,3.121987
1.039500,10.187100,6.334412,5.159414,3.122203
1.040000,10.192000,6.336144,5.160444,3.122420
1.040500,10.196900,6.337876,5.161474,3.122636
1.041000,10.201800,6.339606,5.162502,3.122852
1.041500,10.206700,6.341336,5.163530,3.123068
1.042000,10.211600,6.343065,5.164557,3.123283
1.042500,10.216500,6.344793,5.165583,3.123498
1.043000,10.221400,6.346520,5.166608,3.123712
1.043500,10.226300,6.348246,5.167633,3.123927
1.044000,10.231200,6.349972,5.168657,3.124141
1.044500,10.236100,6.351696,5.169680,3.124354
1.045000,10.241000,6.353420,5.170702,3.124567
1.045500,10.245900,6.355143,5.171724,3.124780
1.046000,10.250800,6.356865,5.172745,3.124993
1.046500,10.255700,6.358586,5.173765,3.125205
1.047000,10.260600,6.360306,5.174784,3.125418
1.047500,10.265500,6.362026,5.175803,3.125629
1.048000,10.270400,6.363744,5.176821,3.125841
1.048500,10.275300,6.365462,5.177838,3.126052
1.049000,10.280200,6.367179,5.178854,3.126262
1.049500,10.285100,6.368895,5.179869,3.126473
1.050000,10.290000,6.370610,5.180884,3.126683
1.050500,10.294900,6.372324,5.181898,3.126893
1.051000,10.299800,6.374038,5.182911,3.127102
1.051500,10.304700,6.375750,5.183924,3.127312
1.052000,10.309600,6.377462,5.184935,3.127520
1.052500,10.314500,6.379173,5.185946,3.127729
1.053000,10.319400,6.380883,5.186956,3.127937
1.053500,10.324300,6.382592,5.187966,3.128145
1.054000,10.329200,6.384300,5.188974,3.128353
1.054500,10.334100,6.386008,5.189982,3.128560
1.055000,10.339000,6.387714,5.190989,3.128767
1.055500,10.343900,6.389420,5.191996,3.128974
1.056000,10.348800,6.391125,5.193001,3.129180
1.056500,10.353700,6.392829,5.194006,3.129386
1.057000,10.358600,6.394532,5.195010,3.129592
1.057500,10.363500,6.396234,5.196014,3.129798
1.058000,10.368400,6.397936,5.197016,3.130003
1.058500,10.373300,6.399636,5.198018,3.130208
1.059000,10.378200,6.401336,5.199019,3.130412
1.059500,10.383100,6.403035,5.200020,3.130616
1.060000,10.388000,6.404733,5.201019,3.130820
1.060500,10.392900,6.406430,5.202018,3.131024
1.061000,10.397800,6.408127,5.203016,3.131227
1.061500,10.402700,6.409822,5.204014,3.131430
1.062000,10.407600,6.411517,5.205010,3.131633
1.062500,10.412500,6.413211,5.206006,3.131835
1.063000,10.417400,6.414904,5.207001,3.132037
1.063500,10.422300,6.416596,5.207996,3.132239
1.064000,10.427200,6.418287,5.208989,3.132441
1.064500,10.432100,6.419977,5.209982,3.132642
1.065000,10.437000,6.421667,5.210974,3.132843
1.065500,10.441900,6.423356,5.211966,3.133043
1.066000,10.446800,6.425044,5.212956,3.133244
1.066500,10.451700,6.426731,5.213946,3.133444
1.067000,10.456600,6.428417,5.214935,3.133643
